id,pnr,name,flight,seat,bags,checked_in,security,boarded,loyalty,fast_track,wheelchair,infant
44,EXB9RS,Anjali Hurloll,EK702,53D,1,0,0,0,0,0,0,0
45,S1OXPK,Priya Vydelingum,EK702,57E,0,0,0,0,1,0,0,0
46,6Z5OP6,Krishen Sunassee,EK702,49A,2,0,0,0,3,1,0,0
47,Y5HHBS,Ashvin Boodhoo,EK702,33F,2,0,0,0,0,0,0,0
48,A37AIG,Uma Lafleur,EK702,30F,1,0,0,0,0,0,0,0
49,OKL98S,Marie-Claire Lafleur,TK742,21A,0,0,0,0,0,0,0,0
50,5BCE9C,Ghislaine Mungra,TK742,40J,0,0,0,0,1,0,0,0
51,Q8F4BO,Melissa Li Ying Pin,TK742,40E,0,0,0,0,0,0,0,0
52,ZRXI3I,Sanjay Bhundoo,TK742,1J,0,0,0,0,1,0,0,0
53,IWL7TG,Hansley Gopaul,TK742,28G,0,0,0,0,0,0,0,0
54,3EH5ZD,Pravin Valaydon,TK742,12G,1,0,0,0,0,0,0,0
55,AF3J44,Jessica Espitalier-Noel,TK742,38J,2,0,0,0,0,0,0,0
56,FWLHW7,Patrice Hossen,TK742,21D,0,0,0,0,0,0,0,1
57,ZXSK47,Geeta Ramgoolam,TK742,54E,2,0,0,0,1,0,0,0
58,X8O13L,Sandrine Narain,TK742,9D,1,0,0,0,0,0,0,0
59,VJ6C33,Fabiola Koonjul,TK742,11B,0,0,0,0,0,0,0,0
60,0P97G0,Hansley Rughoonundun,TK742,5J,2,0,0,0,3,1,0,1
61,9FY4TJ,Clency Bhundoo,TK742,21E,1,0,0,0,0,0,0,0
62,0PCQXC,Cedric Uteem,TK742,6H,1,0,0,0,0,0,0,0
63,J9I3K1,Dinesh Li Ying Pin,TK742,14E,0,0,0,0,3,1,0,0
64,40NCK6,Emilie Laval,TK742,12B,2,0,0,0,0,0,0,0
65,F50BCE,Fabiola Vydelingum,MK048,15H,1,0,0,0,0,0,0,0
66,YXGFD1,Aisha Sooprayen,MK048,21D,0,0,0,0,1,0,0,0
67,LX0E3J,Manisha Sooprayen,MK048,52F,2,0,0,0,0,0,0,0
68,JFFIIB,Hemant Nundlall,MK048,48A,2,0,0,0,0,0,0,0
69,DP6GW5,Hansley Ramdhany,MK048,41E,0,0,0,0,0,0,0,0
70,NR93Q3,Ishwar Maunthrooa,MK048,3F,2,0,0,0,0,0,0,0
71,UX2053,Rachel Toolsee,MK048,10C,1,0,0,0,0,0,0,0
72,8VWVE7,Krishen Moutou,MK048,19B,2,0,0,0,1,0,0,0
73,VTE9UA,Thierry Itoola,MK048,6F,0,0,0,0,0,0,0,0
74,XK1T6Q,Estelle Gungapersad,MK048,1A,2,0,0,0,0,0,0,0
75,IV5JPD,Manisha Gungapersad,MK048,47J,0,0,0,0,0,0,0,0
76,RA7ODP,Yashna Curpen,MK048,40F,1,0,0,0,0,0,0,0
77,ZO6VEX,Vikram Espitalier-Noel,MK048,27A,0,0,0,0,3,1,0,0
78,MDN16N,Trisha Desvaux de Marigny,MK048,29A,2,0,0,0,0,0,0,0
79,OGLPCU,Melissa Gungapersad,MK048,47B,0,0,0,0,0,0,0,0
80,EJ84T8,Brenda Jhurry,MK202,11E,2,0,0,0,0,0,0,0
81,7K1UXY,Kavita Foolchand,MK202,16C,0,0,0,0,0,0,0,0
82,2BOL2S,Veronique Ramsamy,MK202,14C,0,0,0,0,0,0,0,0
83,6NE5OF,Emilie Chinien,MK202,3F,0,0,0,0,0,0,0,1
84,FWB6GP,Eshan Nundlall,UU975,3F,0,0,0,0,0,0,0,0
85,AWCN08,Ismael Moutou,UU975,2B,1,0,0,0,0,0,0,0
86,2BG1LK,Nadia Neerunjun,UU975,13D,2,0,0,0,0,0,0,0
87,J1D47P,Kiran Bissessur,UU975,16E,0,0,0,0,0,0,0,0
88,E9VL9Y,Ishwar Purmessur,UU975,3D,0,0,0,0,1,0,0,1
89,E7JK7N,Gopal Foolchand,UU975,13A,1,0,0,0,0,0,0,0
90,WDQSI3,Ismael Sewnath,UU975,26F,0,0,0,0,0,0,0,0
91,J8ICMQ,Zubair Ellayah,UU975,16E,2,0,0,0,0,0,0,0
92,EUCVK8,Anjali Joomun,MK042,14F,2,0,0,0,0,0,0,0
93,B7TD8F,Yashna Hurloll,MK042,41H,2,0,0,0,2,1,0,0
94,ETS7P1,Jessica Bhugaloo,MK042,10F,2,0,0,0,0,0,0,0
95,TO4GSD,Tania Gopaul,MK042,7E,0,0,0,0,0,0,0,0
96,KE5YJ5,Odile Koonjul,MK042,39F,1,0,0,0,0,0,0,0
97,RE7MOO,Sanjay Sunassee,MK042,43B,1,0,0,0,0,0,0,1
98,S4AOQN,Zubair Nundlall,MK042,18J,1,0,0,0,0,0,0,0
99,HIR7FK,Nitin Espitalier-Noel,MK042,29D,1,0,0,0,0,0,0,0
100,DV34KY,Rajesh Laval,MK042,25F,1,0,0,0,3,1,0,0
101,Y2ZMDA,Sanjay Sunassee,MK042,50H,1,0,0,0,0,0,1,0
102,JN2YBP,Yannick Hossen,MK042,38B,0,0,0,0,1,0,0,0
103,BMKFXY,Hemant Tirvengadum,MK042,43B,1,0,0,0,0,0,0,0
104,HAGLB2,Aisha Moutou,4Z253,12E,2,0,0,0,0,0,0,0
105,4UPMH8,Kiran Jhurry,4Z253,9C,1,0,0,0,0,0,0,0
106,63ERO4,Amelie Bhugaloo,4Z253,6F,1,0,0,0,0,0,0,0
107,1AWFZN,Yashna Narain,4Z253,5F,2,0,0,0,0,0,0,0
108,E0OTKS,Clency Imrith,4Z253,19D,2,0,0,0,0,0,0,0
109,90XW29,Manisha Bhugaloo,MK204,4A,1,0,0,0,0,0,0,0
110,3UCZQY,Priya Hurloll,MK204,9E,2,0,0,0,0,0,0,0
111,YNDHKQ,Harold Rughoonundun,MK204,24A,2,0,0,0,0,0,1,0
112,PZTEHP,Yashna Nundlall,MK204,25B,1,0,0,0,0,0,0,0
113,FKG8KV,Clency Cangy,SS911,3G,1,0,0,0,1,0,0,0
114,CV7KX6,Priya Jhurry,SS911,52F,2,0,0,0,0,0,0,0
115,CHJ0MS,Emilie Toolsee,SS911,36D,2,0,0,0,0,0,0,0
116,120F73,Doorgesh Bhundoo,SS911,39E,2,0,0,0,0,0,0,1
117,WVQC1N,Olivier Ramdhany,SS911,41H,0,0,0,0,3,1,0,0
118,ZCWVOS,Sandrine Cangy,SS911,14A,1,0,0,0,0,0,0,0
119,POWKIK,Nitin Li Ying Pin,SS911,10A,0,0,0,0,0,0,0,0
120,66IJ8R,Patrice Joomun,SS911,25A,1,0,0,0,2,1,0,0
121,UXUHG6,Rajesh Oree,SS911,37H,1,0,0,0,0,0,0,0
122,Q4CPH7,Devina Oree,SS911,27D,1,0,0,0,0,0,0,0
123,Y4NMUX,Ismael Ramdhany,SS911,23G,1,0,0,0,0,0,0,0
124,DWRX2E,Reshma Hossen,SS911,40C,2,0,0,0,2,1,0,0
125,1D4LER,Ghislaine Mungra,SS911,44E,0,0,0,0,2,1,0,0
126,06RAM3,Fabrice Maunthrooa,SS911,24E,1,0,0,0,0,0,0,0
127,V2XC4Y,Ivan Valaydon,SS911,1J,2,0,0,0,0,0,0,0
128,9T6R2F,Clency Narain,SS911,1F,2,0,0,0,3,1,0,0
129,KID8FZ,Brenda Sewnath,KQ277,15A,1,0,0,0,0,0,0,0
130,SQ6WPB,Devina Appadoo,KQ277,14A,0,0,0,0,0,0,0,0
131,H7Y7HY,Tania Mungra,KQ277,10B,1,0,0,0,0,0,0,0
132,A1VXNL,Ismael Quirin,KQ277,20B,0,0,0,0,0,0,1,0
133,JBP4FY,Trisha Moutou,KQ277,5A,2,0,0,0,0,0,0,0
134,VSFTDK,Jean-Marc Koonjul,KQ277,25C,1,0,0,0,0,0,0,0
135,KIROOX,Nadia Rughoonundun,KQ277,14E,1,0,0,0,2,1,0,1
136,7R278S,Ivan Narain,KQ277,9B,1,0,0,0,0,0,0,0
137,Y5LSQL,Emilie Laval,KQ277,2B,0,0,0,0,2,1,0,0
138,C602EU,Aditya Volbert,MK052,7A,2,0,0,0,0,0,0,0
139,AC9L28,Hansley Nundlall,MK052,10D,2,0,0,0,0,0,0,1
140,K8ALEU,Devina Neerunjun,MK052,10C,2,0,0,0,2,1,0,0
141,4EYM45,Cedric Desvaux de Marigny,MK052,13B,0,0,0,0,0,0,0,0
142,PDVJ9M,Harold Ramdhany,6E066,2C,0,0,0,0,0,0,0,0
143,HZ61PO,Kiran Li Ying Pin,6E066,31A,2,0,0,0,0,0,0,0
144,Y2ROFL,Gopal Pillay,6E066,2B,1,0,0,0,1,0,0,0
145,P2XG8P,Emilie Dabee,6E066,18D,1,0,0,0,0,0,0,0
146,S3VX4F,Damien Gungapersad,6E066,1E,2,0,0,0,0,0,0,0
147,C97Y92,Pravin Joomun,6E066,12C,1,0,0,0,1,0,0,0
148,TSNNFZ,Devina Itoola,6E066,16A,2,0,0,0,0,0,0,0
149,Y9BA8Q,Bruno Appadoo,6E066,20D,2,0,0,0,0,0,1,0
150,OT3EA6,Pravin Maunthrooa,6E066,13A,0,0,0,0,3,1,0,0
151,VVF29K,Trisha Mudhoo,6E066,11B,1,0,0,0,0,0,0,0
152,DOBMJ8,Odile Perrine,6E066,28D,0,0,0,0,1,0,0,0
153,6GAZGP,Quentin Toolsee,MK206,9D,1,0,0,0,3,1,0,0
154,2D1HOJ,Jessica Gujadhur,MK206,19E,2,0,0,0,0,0,0,0
155,UJFZUA,Brenda Volbert,MK206,24A,1,0,0,0,0,0,0,0
156,7BHTUW,Melissa Joomun,MK206,29E,0,0,0,0,0,0,0,0
157,735SSH,Kavi Vydelingum,MD732,6E,1,0,0,0,0,0,1,0
158,DFI1W3,Nishal Nagalingum,MD732,5A,2,0,0,0,0,0,0,1
159,R0F37T,Melissa Cangy,MD732,8F,0,0,0,0,0,0,0,0
160,WY1VPA,Trisha Moutou,MD732,32B,1,0,0,0,0,0,0,0
161,1GYA0U,Amelie Volbert,UU977,11F,0,0,0,0,0,0,0,0
162,HYA4V2,Ismael Moutou,UU977,24D,0,0,0,0,0,0,0,0
163,OCJ7N1,Bhavna Quirin,UU977,3F,0,0,0,0,0,0,0,0
164,AMI4C2,Dinesh Ah Kong,UU977,13D,1,0,0,0,1,0,0,0
165,2QFA4A,Kiran Appadoo,UU977,30F,2,0,0,0,0,0,0,0
166,FXIOCH,Farhad Ramsamy,UU977,4A,1,0,0,0,0,0,0,0
167,UI0K6K,Ivan Luchmun,UU977,27F,1,0,0,0,0,0,0,0
168,MA3QLC,Thierry Maunthrooa,UU977,32C,2,0,0,0,0,0,0,0
169,XH5QVU,Harold Fakim,UU977,2F,2,0,0,0,3,1,0,0
170,8T0UIK,Ghislaine Nundlall,UU977,9E,2,0,0,0,0,0,0,0
171,A3Z8T9,Doorgesh Vydelingum,UU977,25C,2,0,0,0,0,0,0,1
172,M21WM3,Rachel Ah Kong,UU977,14C,1,0,0,0,0,0,0,0
173,6KSRRQ,Emilie Hurdoyal,HM063,17C,1,0,0,0,0,0,0,0
174,E2U03H,Tania Tirvengadum,HM063,10C,0,0,0,0,0,0,0,0
175,JX3YRP,Trisha Bhundoo,HM063,2A,0,0,0,0,0,0,0,0
176,8VO637,Sameer Purmessur,HM063,30B,0,0,0,0,0,0,0,0
177,A6Y18K,Bhavna Veerapen,HM063,18F,2,0,0,0,0,0,0,0
178,RWE56I,Clency Jhurry,HM063,9D,0,0,0,0,0,0,0,0
179,JFPW3B,Nishal Dabee,HM063,19E,0,0,0,0,0,0,0,0
180,D1DIQG,Sandrine Ah Kong,HM063,21C,1,0,0,0,0,0,0,0
181,XLJY7K,Rachel Rughoonundun,HM063,7E,2,0,0,0,3,1,0,1
182,CM52SN,Bruno Purmessur,HM063,16A,1,0,0,0,0,0,0,0
183,XSEL6I,Farhad Neerunjun,MK050,8A,1,0,0,0,0,0,0,0
184,R2LJMT,Kavi Woodun,MK050,3C,1,0,0,0,3,1,0,0
185,ZP58U2,Thierry Nundlall,MK050,15B,1,0,0,0,0,0,0,0
186,EK79A5,Fabrice Beeharry,MK050,30H,2,0,0,0,0,0,0,0
187,YJU3ZV,Zubair Gungapersad,MK050,32C,1,0,0,0,0,0,0,0
188,P8O44W,Fabiola Woodun,MK050,40E,1,0,0,0,0,0,0,0
189,F5S40L,Hansley Ramdhany,MK050,7F,1,0,0,0,3,1,0,0
190,N742II,Chandra Maunthrooa,MK050,54C,1,0,0,0,0,0,0,0
191,YUB7UQ,Gopal Mudhoo,MK050,8A,0,0,0,0,0,0,0,0
192,VCR29Q,Patrice Dabee,MK050,26F,2,0,0,0,0,0,0,0
193,40KUG1,Uma Hurdoyal,MK050,57H,2,0,0,0,0,0,0,0
194,7LZWQQ,Zubair Nundlall,MK050,10B,1,0,0,0,0,0,0,0
195,N274LU,Bruno Lafleur,MK050,46D,0,0,0,0,0,0,0,0
196,71S9IY,Thierry Gungapersad,MK050,12G,0,0,0,0,0,0,0,0
197,2MQIVU,Nitin Toolsee,MK208,4A,1,0,0,0,3,1,0,0
198,8960ZG,Ashvin Jeetun,MK208,3E,0,0,0,0,0,0,0,0
199,6AY1DC,Fabrice Quirin,MK208,29F,2,0,0,0,0,0,1,0
200,D6MF3X,Cedric Volbert,MK208,20A,2,0,0,0,0,0,0,0
201,Z2VVR6,Pravin Vydelingum,4Z255,8C,1,0,0,0,0,0,0,0
202,XE13DK,Tania Perrine,4Z255,11C,1,0,0,0,0,0,0,0
203,V7ZU30,Farhad Hossen,4Z255,4B,1,0,0,0,0,0,0,0
204,PIBJHM,Hansley Rughoonundun,4Z255,13D,0,0,0,0,0,0,0,0
205,5LYIX2,Emilie Li Ying Pin,4Z255,26C,2,0,0,0,0,0,0,1
206,92F3EP,Vikram Uteem,MK044,48C,1,0,0,0,0,0,0,1
207,QW8AIZ,Ismael Sooprayen,MK044,10G,2,0,0,0,0,0,0,0
208,OYMFWP,Brenda Vydelingum,MK044,14B,0,0,0,0,0,0,0,0
209,IC6BZ3,Gopal Ramdhany,MK044,14G,0,0,0,0,0,0,0,0
210,GVY6S4,Chandra Appadoo,MK044,50J,1,0,0,0,0,0,0,0
211,BAK1NY,Bhavna Imrith,MK044,14C,1,0,0,0,2,1,0,0
212,0XIG6G,Sandrine Dabee,MK044,40H,2,0,0,0,3,1,0,0
213,DFASE1,Ismael Hossen,MK044,7F,0,0,0,0,3,1,0,0
214,GUZF74,Nitin Beeharry,MK044,2A,2,0,0,0,2,1,0,0
215,HOOTWM,Aditya Bissessur,MK044,18E,0,0,0,0,0,0,0,0
216,WZAJVZ,Geeta Uteem,MK044,56A,1,0,0,0,0,0,0,0
217,RTYS7F,Yannick Purmessur,MK044,18J,0,0,0,0,0,0,0,0
218,483789,Estelle Itoola,MK044,4D,2,0,0,0,0,0,0,0
219,1WFV7M,Aisha Mungra,MK044,51D,1,0,0,0,0,0,0,0
220,K1YPP0,Rajesh Rasoanaivo,MK044,7H,1,0,0,0,0,0,0,0
221,O86C36,Yannick Jugnauth,MK044,31J,2,0,0,0,0,0,1,0
222,I0M30L,Dinesh Perrine,UU979,22A,1,0,0,0,3,1,0,0
223,L9G7LW,Hemant Li Ying Pin,UU979,21B,2,0,0,0,0,0,0,0
224,194OWW,Quentin Dabee,UU979,18B,1,0,0,0,1,0,0,0
225,H0FKXW,Priya Chinien,UU979,26C,1,0,0,0,0,0,0,0
226,DHXCWI,Damien Woodun,UU979,14C,2,0,0,0,0,0,1,0
227,YR91SK,Harold Laval,UU979,13E,1,0,0,0,0,0,0,0
228,OXUYF8,Jessica Li Ying Pin,UU979,3E,0,0,0,0,0,0,0,0
229,SPPFK2,Thierry Rasoanaivo,UU979,6C,2,0,0,0,0,0,0,0
230,MCILS7,Aisha Nagalingum,UU979,7B,0,0,0,0,1,0,0,0
231,ZKZEEZ,Quentin Maunthrooa,UU979,3A,1,0,0,0,1,0,0,0
232,MLBHHY,Ghislaine Boodhoo,UU979,10A,0,0,0,0,3,1,0,0
233,0K5YY3,Chandra Narain,DE2315,44G,0,0,0,0,0,0,0,0
234,C7116B,Sameer Chinien,DE2315,7F,2,0,0,0,0,0,0,0
235,BBYDYT,Fabrice Rughoonundun,DE2315,46H,2,0,0,0,0,0,0,0
236,K8XJRW,Olivier Ramsamy,DE2315,41E,2,0,0,0,0,0,0,1
237,XGPP4B,Nishal Ramsamy,DE2315,44J,2,0,0,0,0,0,0,0
238,Y3WMVJ,Ivan Hurdoyal,DE2315,23D,2,0,0,0,0,0,0,0
239,O1BBYF,Estelle Lafleur,DE2315,26B,1,0,0,0,2,1,0,0
240,LJYXPZ,Uma Gungapersad,DE2315,10J,1,0,0,0,3,1,0,0
241,07J80F,Pravin Maunthrooa,DE2315,55C,1,0,0,0,0,0,0,0
242,MQWKGN,Marie-Claire Mudhoo,DE2315,18E,2,0,0,0,0,0,0,0
243,IEFESO,Rachel Quirin,DE2315,16A,1,0,0,0,0,0,0,0
244,9JX4FX,Eshan Gungapersad,DE2315,54A,1,0,0,0,0,0,0,0
245,O4TV9X,Eshan Lafleur,DE2315,47C,0,0,0,0,1,0,0,0
246,8A42KP,Veronique Li Ying Pin,DE2315,45F,1,0,0,0,0,0,0,0
247,3A9791,Harold Fakim,DE2315,36F,2,0,0,0,1,0,0,0
248,VU44HD,Devina Ramgoolam,DE2315,48B,0,0,0,0,0,0,0,0
249,I7EDYB,Brenda Veerapen,MK210,11A,2,0,0,0,2,1,0,0
250,YYHZEH,Gopal Curpen,MK210,27A,2,0,0,0,0,0,1,0
251,K3789D,Uma Dabee,MK210,30F,1,0,0,0,0,0,0,0
252,CS9W9F,Nadia Gujadhur,MK210,26D,0,0,0,0,0,0,0,0
253,Y119N8,Krishen Quirin,SV832,19H,0,0,0,0,0,0,0,0
254,5DFWOO,Nitin Kissoondoyal,SV832,29E,2,0,0,0,0,0,0,0
255,R8QENJ,Quentin Mungra,SV832,42J,0,0,0,0,0,0,0,0
256,31CTJV,Vikram Mudhoo,SV832,18H,0,0,0,0,0,0,1,0
257,XR0QVI,Rachel Bissessur,SV832,4H,1,0,0,0,1,0,0,0
258,BYVCBL,Rachel Pillay,SV832,39H,2,0,0,0,0,0,0,0
259,8O5PE6,Quentin Fakim,SV832,36B,0,0,0,0,0,0,0,0
260,SIZPWE,Fabiola Mungra,SV832,44C,1,0,0,0,0,0,0,0
261,TA2CGT,Anjali Vydelingum,SV832,25G,1,0,0,0,0,0,0,0
262,4J3VMO,Harold Koonjul,SV832,7G,2,0,0,0,0,0,0,0
263,AVKODT,Marie-Claire Sooprayen,SV832,49J,1,0,0,0,2,1,0,0
264,AH7YQZ,Ghislaine Cangy,SV832,31B,1,0,0,0,0,0,0,0
265,DY5MWC,Jean-Marc Dabee,SV832,19D,2,0,0,0,0,0,0,0
266,VSYBF6,Nitin Woodun,SV832,28H,0,0,0,0,0,0,0,0
267,FAXQMH,Ashvin Jeetun,SV832,12H,1,0,0,0,0,0,0,0
268,9EZF65,Kiran Kissoondoyal,SV832,47F,1,0,0,0,0,0,0,0
269,RU488P,Tania Luchmun,MK046,2C,0,0,0,0,0,0,0,0
270,CP0DFV,Lindsay Valaydon,MK046,56H,2,0,0,0,0,0,0,1
271,L7FS9F,Fabrice Jhurry,MK046,24B,2,0,0,0,0,0,0,0
272,PG9JBE,Reshma Quirin,MK046,20E,0,0,0,0,0,0,0,0
273,NGU7UJ,Nadia Luchmun,MK046,28H,0,0,0,0,3,1,1,0
274,0XUWBM,Bruno Volbert,MK046,19B,2,0,0,0,0,0,0,0
275,V2H8HR,Ishwar Espitalier-Noel,MK046,41E,2,0,0,0,0,0,0,0
276,CYEUL4,Ismael Rughoonundun,MK046,45C,0,0,0,0,0,0,0,0
277,NRI21D,Emilie Neerunjun,MK046,23A,0,0,0,0,0,0,1,0
278,UE6796,Uma Quirin,MK046,11E,1,0,0,0,0,0,0,0
279,9YJO2M,Sanjay Seetohul,MK046,38E,0,0,0,0,0,0,1,0
280,7SS5WW,Veronique Gujadhur,MK046,28B,1,0,0,0,0,0,0,0
281,LCHTO2,Manisha Valaydon,MK046,25E,1,0,0,0,0,0,0,0
282,NYTA1W,Olivier Li Ying Pin,MK046,18A,1,0,0,0,0,0,0,0
283,GJYQBS,Doorgesh Luchmun,MK046,58A,1,0,0,0,3,1,0,0
284,EILY7Y,Reshma Gujadhur,BA2066,39J,0,0,0,0,0,0,0,0
285,NRF7UP,Veronique Bhugaloo,BA2066,8J,2,0,0,0,0,0,0,0
286,XBLVVV,Brenda Rasoanaivo,BA2066,54D,0,0,0,0,2,1,0,0
287,NVF03T,Pravin Joomun,BA2066,9D,1,0,0,0,0,0,0,0
288,H9X3M6,Ismael Volbert,BA2066,22J,2,0,0,0,0,0,0,0
289,90KJL5,Harold Beeharry,BA2066,55D,0,0,0,0,2,1,0,0
290,UECT6R,Ivan Li Ying Pin,BA2066,30B,1,0,0,0,0,0,0,0
291,C190O2,Loic Itoola,BA2066,36D,2,0,0,0,2,1,0,0
292,B0WHTO,Manisha Quirin,BA2066,34E,1,0,0,0,2,1,0,0
293,XD08PF,Trisha Ah Kong,BA2066,34H,2,0,0,0,0,0,0,0
294,5I1GBM,Emilie Bhundoo,BA2066,28H,0,0,0,0,0,0,0,0
295,9V3K8C,Doorgesh Uteem,BA2066,28F,1,0,0,0,3,1,0,0
296,ZXXKAX,Fabiola Nundlall,BA2066,57H,2,0,0,0,0,0,0,0
297,OOPX0G,Zubair Nundlall,BA2066,32E,2,0,0,0,1,0,0,0
298,F6JL69,Laetitia Adrien,BA2066,43F,1,0,0,0,0,0,0,0
299,S20Q5G,Manisha Maunthrooa,BA2066,56C,1,0,0,0,1,0,0,0
300,T3CFP1,Wesley Mungra,MK212,29D,2,0,0,0,0,0,0,0
301,XF1P6D,Thierry Narain,MK212,20B,1,0,0,0,0,0,0,0
302,1QFU2M,Jean-Marc Rasoanaivo,MK212,7E,0,0,0,0,1,0,0,0
303,L61509,Laetitia Chinien,MK212,16F,2,0,0,0,0,0,0,0
304,5NG5G2,Ghislaine Jeetun,MK016,49E,0,0,0,0,0,0,0,0
305,V9U6E4,Kiran Appadoo,MK016,30H,2,0,0,0,0,0,0,0
306,7M2R0Y,Sameer Rughoonundun,MK016,45C,0,0,0,0,1,0,0,0
307,1APEN1,Hansley Ellayah,MK016,31G,2,0,0,0,2,1,0,0
308,9AVOB6,Odile Ah Kong,MK016,28E,0,0,0,0,0,0,0,0
309,OWJKI0,Fabrice Mudhoo,MK016,46F,1,0,0,0,0,0,0,0
310,27YWI1,Krishen Ellayah,MK016,43B,0,0,0,0,0,0,0,1
311,UFE60W,Fabiola Imrith,MK016,49B,1,0,0,0,0,0,0,0
312,2U1R9S,Estelle Maunthrooa,MK016,40H,2,0,0,0,0,0,0,1
313,V2CQDC,Anjali Maunthrooa,MK016,9J,2,0,0,0,0,0,0,1
314,9U1IL8,Dinesh Ramsamy,MK016,14J,2,0,0,0,1,0,0,0
315,I7O6OI,Ivan Perrine,MK016,30B,1,0,0,0,0,0,0,0
316,DOFWZW,Jean-Marc Narain,MK016,2G,1,0,0,0,0,0,0,0
317,PLAOB4,Trisha Dabee,MK016,43B,1,0,0,0,0,0,0,0
318,GQ5SNV,Aditya Lafleur,MK016,46G,2,0,0,0,0,0,0,0
319,2EK7XK,Reshma Adrien,MK016,52E,0,0,0,0,0,0,0,0
320,03DM9C,Jyoti Sunassee,EK704,45G,1,0,0,0,1,0,0,0
321,41OYJO,Fabrice Imrith,EK704,14E,1,0,0,0,0,0,0,0
322,U1ZQ3M,Nadia Jeetun,EK704,12G,2,0,0,0,1,0,0,0
323,UL4WAK,Gopal Gungapersad,EK704,15D,2,0,0,0,0,0,0,0
324,0RGDF0,Vikram Ellayah,EK704,5G,0,0,0,0,0,0,0,0
325,PCEA0M,Reshma Ramsamy,EK704,45D,1,0,0,0,0,0,0,0
326,SD91B8,Nadia Sooprayen,EK704,3J,2,0,0,0,0,0,0,0
327,ZIKF31,Jyoti Espitalier-Noel,EK704,48E,0,0,0,0,0,0,0,0
